algorithm,date,iteration,seed,size
RLS12,20210112133503_374,22331,16104548971922140,36
RLS12,20210112133529_932,58410,16104549098543210,36
RLS12,20210112133547_571,13642,16104549452367510,24
RLS12,20210112133558_044,25554,16104549534020470,24
RLS12,20210112133621_884,44117,16104549643730120,36
RLS12,20210112133640_974,10179,16104549997965600,24
RLS12,20210112133642_845,10221,16104550021543320,24
RLS12,20210112133728_333,40252,16104550435665470,36
RLS12,20210112133728_395,7118,16104550479731792,24
RLS12,20210112133751_717,32745,16104550689794750,36
RLS12,20210112134354_383,9554,16104554331224092,24
RLS12,20210112134417_818,77338,16104554290401470,46
RLS12,20210112134439_545,112798,16104554384225270,46
RLS12,20210112134458_418,184255,16104554290401470,46
RLS12,20210112134548_644,107303,16104554984241440,46
RLS12,20210112134636_142,4847,16104555953350310,24
RLS12,20210112134659_438,4541,16104556187064040,24
RLS12,20210112134707_083,6804,16104556260784190,24
RLS12,20210112134816_931,30383,16104556793112130,36
RLS12,20210112134922_66,139693,16104556969372110,46
RLS12,20210112134925_604,16037,16104557626612900,24
RLS12,20210112134937_045,38623,16104557656086010,36
RLS12,20210112134938_448,6427,16104557770456380,24
RLS12,20210112135042_256,34295,16104558329875218,36
RLS12,20210112135226_094,29215,16104559383140870,36
RLS12,20210112135231_567,19137,16104559460958040,36
RLS12,20210112135312_511,89495,16104559581940340,46
RLS12,20210112135343_219,85971,16104559925122718,46
RLS12,20210112135451_924,114897,16104560605363660,46
RLS12,20210112135513_347,4951,16104561128711550,24
RLS12,20210112135654_473,6664,16104562137597712,24
RLS12,20210112135701_221,39237,16104562144743120,36
RLS12,20210112135735_54,98751,16104562212219650,46
RLS12,20210112135740_522,8149,16104562592406070,24
RLS12,20210112135754_07,15677,16104562698928680,36
RLS12,20210112135756_194,17040,16104562718486290,36
RLS12,20210112135802_135,16012,16104562794197140,24
RLS12,20210112135847_279,26516,16104563198045490,36
RLS12,20210112135908_701,4269,16104563480655120,24
RLS12,20210112135908_745,29617,16104563414927680,36
RLS12,20210112135926_918,8282,16104563655216392,24
RLS12,20210112135949_304,26271,16104563826070982,36
RLS12,20210112135950_681,9298,16104563893051960,24
RLS12,20210112140200_039,25919,16104565129120640,36
RLS12,20210112140203_296,3712,16104565228098180,24
RLS12,20210112140237_615,14645,16104565551021060,24
RLS12,20210112140252_986,6513,16104565718126850,24
RLS12,20210112140257_202,18351,16104565729874598,36
RLS12,20210112140325_877,57288,16104565959072340,36
RLS12,20210112140333_187,62290,16104566023985880,36
RLS12,20210112140358_932,22207,16104566349176012,36
RLS12,20210112140411_897,20382,16104566498473188,36
RLS12,20210112140416_436,18362,16104566552855660,24
RLS12,20210112140426_49,24793,16104566649570010,24
RLS12,20210112140427_412,24189,16104566649636200,36
RLS12,20210112140440_102,15489,16104566791001092,24
RLS12,20210112140453_906,10104,16104566934754282,24
RLS12,20210112143635_238,21987,16104585903745420,24
RLS12,20210112143659_878,21777,16104586133433010,36
RLS12,20210112143703_676,18732,16104586198800020,24
RLS12,20210112143706_778,15032,16104586239218618,24
RLS12,20210112143708_74,26962,16104586236774270,24
RLS12,20210112143725_87,55130,16104586287405420,36
RLS12,20210112143735_566,31004,16104586488943480,36
RLS12,20210112143742_007,23962,16104586555673930,36
RLS12,20210112144320_681,9658,16104589983977130,24
RLS12,20210112144340_412,70667,16104589983977302,36
RLS12,20210112144453_939,95225,16104590526139570,48
RLS12,20210112144505_996,14510,16104591036488358,24
RLS12,20210112144526_523,60165,16104591024385600,48
RLS12,20210112144540_614,45614,16104591265238320,36
RLS12,20210112144541_797,6949,16104591406150560,24
RLS12,20210112144627_778,147827,16104591251049880,48
RLS12,20210112144843_293,95409,16104592982272610,48
RLS12,20210112144853_89,44417,16104593276652930,36
RLS12,20210112144956_628,22894,16104593941633010,36
RLS12,20210112145022_105,12727,16104594214945590,24
RLS12,20210112145457_017,27150,16104596924592100,24
RLS12,20210112145504_31,41962,16104596924592112,36
RLS12,20210112145506_063,40172,16104596947316762,36
RLS12,20210112145506_943,5237,16104597060635090,24
RLS12,20210112145545_315,9111,16104597439300010,24
RLS12,20210112145632_917,15338,16104597883340910,24
RLS12,20210112145701_212,70224,16104598015000450,36
RLS12,20210112145728_257,105687,16104598023984030,48
RLS12,20210112145743_081,47749,16104598485940170,36
RLS12,20210112145928_651,9446,16104599671510470,24
RLS12,20210112150214_404,54162,16104601104918580,48
RLS12,20210112150238_48,96040,16104601169185218,48
RLS12,20210112150302_731,45376,16104601695123392,36
RLS12,20210112150343_475,236173,16104601257692700,48
RLS12,20210112150359_184,19948,16104602329710190,36
RLS12,20210112150417_538,78718,16104602253405480,48
RLS12,20210112150426_632,56858,16104602506861200,36
RLS12,20210112150429_054,13237,16104602666334382,24
RLS12,20210112150500_867,111262,16104602575388550,48
RLS12,20210112150511_583,39910,16104603008685410,36
RLS12,20210112150556_396,9957,16104603545586938,24
RLS12,20210112150602_535,106077,16104603197537110,48
RLS12,20210112150646_827,5453,16104604060327270,24
RLS12,20210112150654_772,65746,16104603898239328,48
RLS12,20210112150704_019,34114,16104604147735290,36
RLS12,20210112150747_702,114475,16104604240203550,48
RLS12,20210112150819_624,121957,16104604523857870,48
RLS12,20210112151027_143,5431,16104606260804980,24
RLS12,20210112151131_589,50469,16104606772553690,36
RLS12,20210112151219_272,8214,16104607376598890,24
RLS12,20210112151303_5,21296,16104607803210780,24
RLS12,20210112151501_951,31873,16104608932450450,36
RLS12,20210112151513_903,44108,16104609019523220,36
RLS12,20210112151550_879,95556,16104609139038520,48
RLS12,20210112151616_311,190517,16104609029767460,48
RLS12,20210112151648_72,5883,16104610078882300,24
RLS12,20210112151717_544,55610,16104610222412900,36
RLS12,20210112151744_462,78794,16104610342625900,48
RLS12,20210112151853_073,21202,16104611277493752,36
RLS12,20210112151955_774,78531,16104611663014318,48
RLS12,20210112152031_521,227320,16104611451853950,48
RLS12,20210112152103_375,5255,16104612625622100,24
RLS12,20210112152104_541,7473,16104612633771070,24
RLS12,20210112152203_153,11966,16104613212507320,24
RLS12,20210112152302_852,17847,16104613798614262,24
RLS12,20210112152304_392,52112,16104613703202072,36
RLS12,20210112152306_256,11858,16104613844568470,24
RLS12,20210112152314_207,29086,16104613862637740,36
RLS12,20210112152329_907,96733,16104613843927482,36
RLS12,20210112152332_12,67234,16104613947081620,36
RLS12,20210112152431_873,158553,16104614121213320,48
RLS12,20210112152502_358,73880,16104614749298470,48
RLS12,20210112152509_767,162442,16104614487756920,48
RLS12,20210112152514_858,11617,16104615130222450,24
RLS12,20210112152553_013,7819,16104615518672800,24
RLS12,20210112152611_033,130301,16104615312008950,48
RLS12,20210112152617_712,36334,16104615710336650,36
RLS12,20210112152737_533,5796,16104616569378900,24
RLS12,20210112152910_925,103020,16104617254778572,48
RLS12,20210112152944_848,37585,16104617810171160,36
RLS12,20210112154627_162,72934,16104627363508640,48
RLS12,20210112154630_005,13625,16104627871639440,24
RLS12,20210112154857_605,293581,16104627299587980,48
RLS12,20210112154947_19,44651,16104629693729392,36
RLS12,20210112155353_798,8131,16104632322838700,24
RLS12,20210112155435_787,513958,16104629376070520,48
RLS12,20210112155514_364,247751,16104631549035038,48
RLS12,20210112155554_505,99086,16104633143657890,36
RLS12,20210112155610_828,38995,16104633555352768,36
RLS12,20210112155821_967,514179,16104631396199320,48
RLS12,20210112155859_999,203207,16104633680668540,48
RLS12,20210112155910_566,81383,16104635062880950,36
RLS12,20210112155920_101,21558,16104635541895620,24
RLS12,20210112160148_658,273776,16104635033204420,48
RLS12,20210112160259_908,28854,16104637734395480,24
RLS12,20210112160305_85,8951,16104637840361832,24
RLS12,20210112160407_641,65381,16104638214568320,36
RLS12,20210112160458_04,23891,16104638936440352,24
RLS12,20210112160542_719,345220,16104637086602910,48
RLS12,20210112160732_074,189864,16104639163528300,48
RLS12,20210112160756_882,253224,16104639003134060,48
RLS12,20210112160817_429,5804,16104640962867660,24
RLS12,20210112160949_671,150000,16104641314689540,36
RLS12,20210112160951_132,354021,16104639452466620,48
RLS12,20210112161103_949,10811,16104642617790470,24
RLS12,20210112161457_385,98188,16104644275591012,48
RLS12,20210112161653_291,19696,16104646057237930,36
RLS12,20210112161809_766,16204,16104646859578850,24
RLS12,20210112161833_106,13558,16104647106562020,24
RLS12,20210112161901_769,751197,16104642391739408,48
RLS12,20210112161916_43,107469,16104647150562140,36
RLS12,20210112162118_146,36498,16104648617474990,36
RLS12,20210112162118_605,36962,16104648619566930,36
RLS12,20210112162136_307,39073,16104648786063730,36
RLS12,20210112162143_014,22449,16104648974982728,24
RLS12,20210112162144_06,32620,16104648963080800,24
RLS12,20210112162509_303,87384,16104650863621190,36
RLS12,20210112162527_314,62076,16104651106159870,36
RLS12,20210112162546_412,393,16104651463692660,24
RLS12,20210112162613_047,101728,16104651477815230,36
RLS12,20210112162620_122,138009,16104651446342890,36
RLS12,20210112162759_535,97155,16104652554335420,36
RLS12,20210112162818_523,243980,16104651916025370,48
RLS12,20210112162901_86,13310,16104653401569020,24
RLS12,20210112163022_684,10038,16104654215165620,24
RLS12,20210112163121_382,280733,16104653626708860,48
RLS12,20210112163140_816,79012,16104654813838552,36
RLS12,20210112163141_725,7726,16104655008171700,24
RLS12,20210112163230_932,306433,16104654226852990,48
RLS12,20210112163315_696,208784,16104655092334950,48
RLS12,20210112163340_382,100664,16104655956975990,36
RLS12,20210112163419_128,26399,16104656560873640,24
RLS12,20210112163539_516,193631,16104656591298530,48
RLS12,20210112163739_195,15371,16104658572350060,24
RLS12,20210112163847_585,141778,16104658927318240,36
RLS12,20210112163848_786,9798,16104659275866100,24
RLS12,20210112163920_272,121467,16104659421984590,36
RLS12,20210112164019_736,5830,16104660193279740,24
RLS12,20210112164118_509,257753,16104660197382628,48
RLS12,20210112164154_523,240792,16104660785099890,48
RLS12,20210112190534_789,152690,16104746434099810,24
RLS12,20210112194651_161,1515851,16104750742990710,36
RLS12,20210112195112_238,185249,16104773656253300,24
RLS12,20210112201602_365,3175742,16104690559646562,48
RLS12,20210113080023_914,204795,16105210958098290,25
RLS12,20210113080130_237,173581,16105212213511510,20
RLS12,20210113080527_275,143622,16105214704691420,20
RLS12,20210113081708_795,613392,16105216093200020,30
RLS12,20210113081905_379,70848,16105223171763740,20
RLS12,20210113082239_494,357745,16105222287971730,30
RLS12,20210113082723_567,156681,16105227816784958,20
RLS12,20210113085029_248,89453,16105241909930150,20
RLS12,20210113085136_854,166550,16105242292545080,20
RLS12,20210113085519_504,330951,16105242968560760,25
RLS12,20210113085723_494,126347,16105245929726750,20
RLS12,20210113085940_425,208242,16105246434967360,25
RLS12,20210113090611_654,96117,16105251112140560,25
RLS12,20210113090612_644,274322,16105249221941200,30
RLS12,20210113091351_147,3089,16105256308848730,10
RLS12,20210113091403_976,1457,16105256437777900,10
RLS12,20210113091412_439,33938,16105256439773850,15
RLS12,20210113091610_084,61627,16105257553266010,15
RLS12,20210113091654_007,23049,16105258085534552,15
RLS12,20210113091657_458,34503,16105258033748750,20
RLS12,20210113091704_764,31896,16105258174586160,15
RLS12,20210113091705_255,4941,16105258247651050,10
RLS12,20210113091733_863,28326,16105258475243340,15
RLS12,20210113091734_957,12587,16105258536209860,10
RLS12,20210113091735_421,4611,16105258549582870,10
RLS12,20210113091738_947,91787,16105258226276528,20
RLS12,20210113091741_581,21114,16105258569207240,15
RLS12,20210113091915_767,33110,16105259483492780,15
RLS12,20210113091925_902,44564,16105259557682040,15
RLS12,20210113091927_113,11588,16105259659031360,10
RLS12,20210113091946_202,214018,16105259012154830,20
RLS12,20210113091951_122,21490,16105259862036460,15
RLS12,20210113091957_132,8677,16105259962607780,10
RLS12,20210113092045_073,140236,16105259889217392,20
RLS12,20210113092132_39,40023,16105260816364570,20
RLS12,20210113092203_774,53482,16105261084761528,20
RLS12,20210113092211_563,139494,16105260923922210,20
RLS12,20210113092238_301,134509,16105261211906810,20
RLS12,20210113092257_648,109670,16105261471293350,20
RLS12,20210113092301_573,25673,16105261776496438,15
RLS12,20210113092325_133,84001,16105261815735550,20
RLS12,20210113092342_481,4632,16105262222639698,10
RLS12,20210113092427_442,3945,16105262672799950,10
RLS12,20210113092506_948,6370,16105263066802248,10
RLS12,20210114094439_977,1062,16106138799752140,100
RLS12,20210114094440_089,558,16106138800890630,100
RLS12,20210114094440_091,1094,16106138800898330,100
RLS12,20210114094440_091,635,16106138800905870,100
RLS12,20210114094440_092,497,16106138800915370,100
RLS12,20210114094440_094,1122,16106138800923500,100
RLS12,20210114094440_094,992,16106138800934960,100
RLS12,20210114094440_095,643,16106138800942832,100
RLS12,20210114094440_095,1231,16106138800938340,100
RLS12,20210114094440_096,553,16106138800962400,100
RLS12,20210114094440_098,704,16106138800970950,100
RLS12,20210114094440_098,1008,16106138800971580,100
RLS12,20210114094440_099,777,16106138800981950,100
RLS12,20210114094440_1,661,16106138800998830,100
RLS12,20210114094440_103,417,16106138801026080,100
RLS12,20210114094440_104,477,16106138801034270,100
RLS12,20210114094440_106,586,16106138801058158,100
RLS12,20210114094440_11,959,16106138801087110,100
RLS12,20210114094440_128,802,16106138801101980,100
RLS12,20210114094440_13,702,16106138801293672,100
RLS12,20210114094440_132,497,16106138801316200,100
RLS12,20210114094440_133,633,16106138801328670,100
RLS12,20210114094440_134,519,16106138801339992,100
RLS12,20210114094440_135,504,16106138801345490,100
RLS12,20210114094440_136,968,16106138801349630,100
RLS12,20210114094440_136,893,16106138801353090,100
RLS12,20210114094440_138,1198,16106138801374680,100
RLS12,20210114094440_139,456,16106138801391680,100
RLS12,20210114094440_14,692,16106138801397650,100
RLS12,20210114094440_141,513,16106138801409770,100
RLS12,20210114094440_143,795,16106138801428600,100
RLS12,20210114094440_144,1058,16106138801426420,100
RLS12,20210114094440_147,798,16106138801462560,100
RLS12,20210114094440_148,822,16106138801477302,100
RLS12,20210114094440_151,846,16106138801506950,100
RLS12,20210114094440_165,499,16106138801532890,100
RLS12,20210114094440_166,1537,16106138801532490,100
RLS12,20210114094440_171,842,16106138801701018,100
RLS12,20210114094440_171,527,16106138801709312,100
RLS12,20210114094440_172,618,16106138801719380,100
RLS12,20210114094440_173,1060,16106138801719380,100
RLS12,20210114094440_173,799,16106138801719900,100
RLS12,20210114094440_174,1034,16106138801736482,100
RLS12,20210114094440_175,917,16106138801744040,100
RLS12,20210114094440_177,746,16106138801760840,100
RLS12,20210114094440_177,875,16106138801757310,100
RLS12,20210114094440_178,409,16106138801774700,100
RLS12,20210114094440_179,524,16106138801787540,100
RLS12,20210114094440_183,583,16106138801830670,100
RLS12,20210114094440_185,974,16106138801839362,100
RLS12,20210114094440_186,1156,16106138801854580,100
RLS12,20210114094440_187,571,16106138801862100,100
RLS12,20210114094440_187,1136,16106138801856210,100
RLS12,20210114094440_187,699,16106138801865740,100
RLS12,20210114094440_188,852,16106138801871660,100
RLS12,20210114094440_188,1003,16106138801872640,100
RLS12,20210114094440_189,647,16106138801884520,100
RLS12,20210114094440_199,742,16106138801894860,100
RLS12,20210114094440_202,935,16106138802010592,100
RLS12,20210114094440_203,796,16106138802024870,100
RLS12,20210114094440_203,1025,16106138802025052,100
RLS12,20210114094440_205,585,16106138802046760,100
RLS12,20210114094440_206,564,16106138802056652,100
RLS12,20210114094440_207,664,16106138802066350,100
RLS12,20210114094440_208,518,16106138802079050,100
RLS12,20210114094440_209,602,16106138802084442,100
RLS12,20210114094440_209,1010,16106138802083622,100
RLS12,20210114094440_211,705,16106138802104950,100
RLS12,20210114094440_211,605,16106138802106480,100
RLS12,20210114094440_212,1622,16106138802101460,100
RLS12,20210114094440_212,491,16106138802117760,100
RLS12,20210114094440_212,705,16106138802116410,100
RLS12,20210114094440_225,783,16106138802243290,100
RLS12,20210114094440_235,465,16106138802349210,100
RLS12,20210114094440_237,595,16106138802361250,100
RLS12,20210114094440_238,506,16106138802380250,100
RLS12,20210114094440_239,671,16106138802388570,100
RLS12,20210114094440_239,583,16106138802389910,100
RLS12,20210114094440_24,524,16106138802398890,100
RLS12,20210114094440_241,1041,16106138802404000,100
RLS12,20210114094440_242,522,16106138802418510,100
RLS12,20210114094440_243,1131,16106138802422600,100
RLS12,20210114094440_245,785,16106138802447930,100
RLS12,20210114094440_246,1246,16106138802443718,100
RLS12,20210114094440_246,916,16106138802456580,100
RLS12,20210114094440_247,563,16106138802468040,100
RLS12,20210114094440_248,900,16106138802478370,100
RLS12,20210114094440_249,931,16106138802482700,100
RLS12,20210114094440_249,550,16106138802490708,100
RLS12,20210114094440_252,780,16106138802511080,100
RLS12,20210114094440_252,734,16106138802518712,100
RLS12,20210114094440_253,597,16106138802529970,100
RLS12,20210114094440_254,420,16106138802535500,100
RLS12,20210114094440_255,748,16106138802544450,100
RLS12,20210114094440_255,1983,16106138802529200,100
RLS12,20210114094440_255,815,16106138802542860,100
RLS12,20210114094440_258,678,16106138802572560,100
RLS12,20210114094440_267,634,16106138802670130,100
RLS12,20210114094440_283,1013,16106138802818192,100
RLS12,20210114095009_823,11901,16106142097988328,1000
RLS12,20210114095009_9,33989,16106142098052660,2000
RLS12,20210114095009_929,10154,16106142099006410,1000
RLS12,20210114095009_968,35118,16106142098347610,2000
RLS12,20210114095010_025,9797,16106142099972410,1000
RLS12,20210114095010_122,12380,16106142101031000,1000
RLS12,20210114095010_149,15845,16106142101232610,1000
RLS12,20210114095010_185,30482,16106142101296350,2000
RLS12,20210114095010_208,15350,16106142101858820,1000
RLS12,20210114095010_227,17078,16106142102013850,1000
RLS12,20210114095010_234,28078,16106142101850860,2000
RLS12,20210114095010_242,19144,16106142102094750,2000
RLS12,20210114095010_35,36815,16106142102284270,2000
RLS12,20210114095010_364,20425,16106142103254830,2000
RLS12,20210114095010_391,24538,16106142103516000,2000
RLS12,20210114095010_443,31216,16106142103921750,2000
RLS12,20210114095010_518,28636,16106142104127540,2000
RLS12,20210114095010_56,12594,16106142105387680,1000
RLS12,20210114095010_568,34660,16106142105184960,2000
RLS12,20210114095010_581,10370,16106142105672628,1000
RLS12,20210114095010_796,9838,16106142107745200,1000
RLS12,20210114095010_85,26791,16106142108099470,2000
RLS12,20210114095010_868,24133,16106142108310790,2000
RLS12,20210114095010_874,25921,16106142108333640,2000
RLS12,20210114095010_902,9336,16106142108893722,1000
RLS12,20210114095010_978,10594,16106142109029970,1000
RLS12,20210114095010_998,25559,16106142109000450,2000
RLS12,20210114095011_056,14269,16106142110357860,1000
RLS12,20210114095011_064,25411,16106142110264840,2000
RLS12,20210114095011_16,26174,16106142110650480,2000
RLS12,20210114095011_171,21964,16106142110856070,2000
RLS12,20210114095011_21,24707,16106142111690208,2000
RLS12,20210114095011_365,12827,16106142113468630,1000
RLS12,20210114095011_37,10211,16106142113551468,1000
RLS12,20210114095011_389,10979,16106142113704628,1000
RLS12,20210114095011_417,28939,16106142113698890,2000
RLS12,20210114095011_498,10538,16106142114403050,1000
RLS12,20210114095011_517,22468,16106142114303980,2000
RLS12,20210114095011_69,34061,16106142116406760,2000
RLS12,20210114095011_707,11170,16106142116900960,1000
RLS12,20210114095011_744,30769,16106142116909760,2000
RLS12,20210114095011_748,12127,16106142117300880,1000
RLS12,20210114095011_883,28331,16106142117584620,2000
RLS12,20210114095011_95,23287,16106142118845192,2000
RLS12,20210114095011_975,14896,16106142119506720,1000
RLS12,20210114095011_994,12435,16106142119761760,1000
RLS12,20210114095012_19,11226,16106142121634740,1000
RLS12,20210114095012_19,30198,16106142120585640,2000
RLS12,20210114095012_21,11322,16106142121907160,1000
RLS12,20210114095012_245,16658,16106142122108490,1000
RLS12,20210114095012_291,24450,16106142122457750,2000
RLS12,20210114095012_389,31532,16106142122622340,2000
RLS12,20210114095012_409,27455,16106142122908330,2000
RLS12,20210114095012_441,22875,16106142123897430,2000
RLS12,20210114095012_512,10452,16106142124891750,1000
RLS12,20210114095012_551,21621,16106142125081800,2000
RLS12,20210114095012_557,18655,16106142125187140,2000
RLS12,20210114095012_588,15044,16106142125595378,1000
RLS12,20210114095012_67,12354,16106142125888432,1000
RLS12,20210114095012_676,13915,16106142125919930,1000
RLS12,20210114095012_743,19455,16106142127156510,1000
RLS12,20210114095012_762,13296,16106142127442920,1000
RLS12,20210114095012_807,14077,16106142127888760,1000
RLS12,20210114095012_934,31865,16106142128745430,2000
RLS12,20210114095012_96,14492,16106142129333670,1000
RLS12,20210114095013_005,21138,16106142129615610,2000
RLS12,20210114095013_011,25111,16106142129615610,2000
RLS12,20210114095013_055,26803,16106142129955900,2000
RLS12,20210114095013_184,24351,16106142131288720,2000
RLS12,20210114095013_205,11714,16106142131851612,1000
RLS12,20210114095013_255,20688,16106142132166210,1000
RLS12,20210114095013_408,32150,16106142132763528,2000
RLS12,20210114095013_447,26884,16106142133838620,2000
RLS12,20210114095013_464,12133,16106142134399580,1000
RLS12,20210114095013_565,14634,16106142135349830,1000
RLS12,20210114095013_571,10890,16106142135505660,1000
RLS12,20210114095013_66,15084,16106142136398540,1000
RLS12,20210114095013_717,30979,16106142136676568,2000
RLS12,20210114095013_778,24320,16106142137404410,2000
RLS12,20210114095013_902,40131,16106142137713150,2000
RLS12,20210114095013_93,25306,16106142138938200,2000
RLS12,20210114095013_935,29303,16106142138887290,2000
RLS12,20210114095013_976,21715,16106142139390910,2000
RLS12,20210114095013_993,15271,16106142139685820,1000
RLS12,20210114095014_007,26333,16106142139629640,2000
RLS12,20210114095014_116,42285,16106142139764460,2000
RLS12,20210114095014_124,28395,16106142140074610,2000
RLS12,20210114095014_13,28671,16106142140134270,2000
RLS12,20210114095014_213,23292,16106142141716540,2000
RLS12,20210114095014_356,32485,16106142142245020,2000
RLS12,20210114095014_438,25532,16106142143900780,2000
RLS12,20210114095014_547,9753,16106142145269530,1000
RLS12,20210114095014_802,23935,16106142147549460,2000
RLS12,20210114095014_895,15560,16106142148111100,1000
RLS12,20210114095014_898,10544,16106142148783400,1000
RLS12,20210114095014_933,24182,16106142148879508,2000
RLS12,20210114095014_942,22670,16106142148961840,2000
RLS12,20210114095014_959,27469,16106142148990810,2000
RLS12,20210114095014_982,12907,16106142149430310,1000
RLS12,20210114095015_225,10139,16106142152088110,1000
RLS12,20210114095015_279,12329,16106142152558810,1000
RLS12,20210114095015_326,11584,16106142153067090,1000
RLS12,20210114095015_484,12787,16106142154626020,1000
RLS12,20210114095015_522,14078,16106142154999960,1000
RLS12,20210114095015_533,32275,16106142154807790,2000
RLS12,20210114095015_577,23873,16106142155228332,2000
RLS12,20210114095015_581,27960,16106142155242460,2000
RLS12,20210114095015_622,14151,16106142155931510,1000
