R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20210111152146_603,5684172,16103748777342010,100
2500,RLSSDstar,20210111152300_199,228651,16103749789237270,50
2500,RLSSDstar,20210111152300_708,328233,16103749789236440,50
2500,RLSSDstar,20210111152303_314,409230,16103749810338280,50
2500,RLSSDstar,20210111152304_078,203282,16103749828677580,50
2500,RLSSDstar,20210111152304_81,770192,16103749803884390,50
2500,RLSSDstar,20210111152309_683,492622,16103749867870290,50
2500,RLSSDstar,20210111152310_74,520035,16103749876717020,50
2500,RLSSDstar,20210111152311_077,237278,16103749896835990,50
2500,RLSSDstar,20210111152312_164,269965,16103749907406320,50
2500,RLSSDstar,20210111152314_103,454820,16103749920300650,50
3600,RLSSDstar,20210112130827_477,341476,16104533048573520,60
3600,RLSSDstar,20210112130828_566,499894,16104533048573520,60
1600,RLSSDstar,20210112130828_791,117611,16104533081494600,40
1600,RLSSDstar,20210112130829_293,100710,16104533087922780,40
3600,RLSSDstar,20210112130832_793,1214919,16104533048609360,60
1600,RLSSDstar,20210112130833_692,123856,16104533127949892,40
3600,RLSSDstar,20210112130833_758,678596,16104533095542720,60
3600,RLSSDstar,20210112130835_537,624042,16104533111411910,60
1600,RLSSDstar,20210112130835_932,87486,16104533153655180,40
1600,RLSSDstar,20210112130836_109,154487,16104533151813560,40
3600,RLSSDstar,20210112130838_029,420589,16104533155383720,60
1600,RLSSDstar,20210112130838_138,211589,16104533168778660,40
1600,RLSSDstar,20210112130840_263,145168,16104533194641098,40
1600,RLSSDstar,20210112130842_077,205768,16104533208951070,40
3600,RLSSDstar,20210112130846_638,970916,16104533210659320,60
3600,RLSSDstar,20210112130848_077,1063664,16104533220784020,60
1600,RLSSDstar,20210112130854_45,312923,16104533328430140,40
3600,RLSSDstar,20210112130857_597,634836,16104533344510390,60
1600,RLSSDstar,20210112130858_215,134923,16104533375979782,40
3600,RLSSDstar,20210112130903_14,1111885,16104533382159400,60
15752961,RLSSDstar,20210112132552_199,42899,16104543456800800,24
15752961,RLSSDstar,20210112132556_167,31371,16104543516442400,24
15752961,RLSSDstar,20210112132559_667,52928,16104543522006700,24
15752961,RLSSDstar,20210112132600_927,34423,16104543561683750,24
15752961,RLSSDstar,20210112132602_335,33419,16104543577064828,24
15752961,RLSSDstar,20210112132602_636,35936,16104543577875760,24
15752961,RLSSDstar,20210112132612_241,33242,16104543677363410,24
15752961,RLSSDstar,20210112132614_87,44329,16104543685468668,24
15752961,RLSSDstar,20210112132620_96,39895,16104543754362450,24
15752961,RLSSDstar,20210112132621_918,33344,16104543772757160,24
15752961,RLSSDstar,20210112132622_105,51440,16104543748706688,24
15752961,RLSSDstar,20210112132628_581,44581,16104543819190580,24
15752961,RLSSDstar,20210112132633_195,30408,16104543890518610,24
15752961,RLSSDstar,20210112132633_943,45389,16104543875278708,24
15752961,RLSSDstar,20210112132635_657,48397,16104543885818610,24
15752961,RLSSDstar,20210112132638_452,30541,16104543939440650,24
15752961,RLSSDstar,20210112132638_756,37653,16104543931965290,24
15752961,RLSSDstar,20210112132640_415,39760,16104543956584270,24
15752961,RLSSDstar,20210112132641_475,34840,16104543987573770,24
15752961,RLSSDstar,20210112132642_087,51088,16104543984532080,24
13845841,RLSSDstar,20210112133536_766,35958,16104549310677340,24
13845841,RLSSDstar,20210112133541_713,31761,16104549367673320,24
276922881,RLSSDstar,20210112133545_571,153310,16104548971472260,36
13845841,RLSSDstar,20210112133553_4,36340,16104549455722662,24
276922881,RLSSDstar,20210112133722_002,185587,16104550181201740,36
13845841,RLSSDstar,20210112133723_566,24627,16104550420032270,24
276922881,RLSSDstar,20210112133727_972,204925,16104550221205480,36
13845841,RLSSDstar,20210112133729_941,25063,16104550483959980,24
276922881,RLSSDstar,20210112133748_979,178769,16104550483346282,36
276922881,RLSSDstar,20210112133807_212,205634,16104550717174940,36
12960000,RLSSDstar,20210112134358_42,26127,16104554343854260,24
12960000,RLSSDstar,20210112134557_377,32928,16104555527775100,24
12960000,RLSSDstar,20210112134622_764,33463,16104555770604690,24
157351936,RLSSDstar,20210112134623_936,127165,16104555486454188,36
157351936,RLSSDstar,20210112134650_787,102877,16104555839368470,36
12960000,RLSSDstar,20210112134654_892,28316,16104556107885000,24
12960000,RLSSDstar,20210112134706_077,34539,16104556208239390,24
157351936,RLSSDstar,20210112134759_308,133733,16104556316956748,36
741200625,RLSSDstar,20210112134839_124,289756,16104555827662370,46
741200625,RLSSDstar,20210112134903_411,243382,16104556194389610,46
12960000,RLSSDstar,20210112134944_28,40275,16104557784492910,24
157351936,RLSSDstar,20210112135032_982,123427,16104557932630890,36
741200625,RLSSDstar,20210112135035_268,262956,16104557191285510,46
157351936,RLSSDstar,20210112135215_297,112821,16104559037369320,36
741200625,RLSSDstar,20210112135218_313,333063,16104558055835040,46
12960000,RLSSDstar,20210112135241_864,31434,16104559565773190,24
741200625,RLSSDstar,20210112135335_164,326965,16104558890355092,46
157351936,RLSSDstar,20210112135420_535,145901,16104560232209600,36
741200625,RLSSDstar,20210112135427_034,289652,16104559605588160,46
12960000,RLSSDstar,20210112135454_082,22893,16104560919254330,24
157351936,RLSSDstar,20210112135521_16,137922,16104560964314088,36
157351936,RLSSDstar,20210112135557_376,128789,16104561357443572,36
741200625,RLSSDstar,20210112135739_239,327590,16104561671081710,46
12960000,RLSSDstar,20210112135749_892,26813,16104562655834410,24
181063936,RLSSDstar,20210112135839_797,137688,16104562767080970,36
20151121,RLSSDstar,20210112135941_629,48695,16104563737595980,24
181063936,RLSSDstar,20210112135942_606,121864,16104563487456910,36
20151121,RLSSDstar,20210112135957_479,42913,16104563906821960,24
157351936,RLSSDstar,20210112140009_979,141533,16104563744618160,36
181063936,RLSSDstar,20210112140035_211,145624,16104563974803690,36
181063936,RLSSDstar,20210112140036_179,204853,16104563816307250,36
181063936,RLSSDstar,20210112140149_589,137937,16104564722404290,36
181063936,RLSSDstar,20210112140152_911,124103,16104564787140670,36
741200625,RLSSDstar,20210112140158_923,248260,16104564265736800,46
741200625,RLSSDstar,20210112140206_947,314868,16104564099796340,46
181063936,RLSSDstar,20210112140246_602,125699,16104565269485760,36
20151121,RLSSDstar,20210112140251_812,30512,16104565666039160,24
20151121,RLSSDstar,20210112140337_153,37154,16104566131880620,24
181063936,RLSSDstar,20210112140409_846,114638,16104566311813950,36
20151121,RLSSDstar,20210112140414_37,37106,16104566518983540,24
20151121,RLSSDstar,20210112140424_956,43957,16104566622426960,24
20151121,RLSSDstar,20210112140442_059,36312,16104566804855400,24
20151121,RLSSDstar,20210112140453_474,44360,16104566913216040,24
20151121,RLSSDstar,20210112140455_519,33227,16104566939081100,24
20151121,RLSSDstar,20210112140503_591,45109,16104567016588010,24
181063936,RLSSDstar,20210112140513_494,143757,16104567035919240,36
181063936,RLSSDstar,20210112140521_599,120706,16104567134962090,36
57289761,RLSSDstar,20210112143643_146,63919,16104585903732800,24
384160000,RLSSDstar,20210112143728_892,193380,16104585903736860,36
384160000,RLSSDstar,20210112143737_778,220374,16104585952433680,36
57289761,RLSSDstar,20210112143750_618,78180,16104586577792480,24
384160000,RLSSDstar,20210112143755_318,188418,16104586267792910,36
57289761,RLSSDstar,20210112143800_635,77405,16104586737400752,24
57289761,RLSSDstar,20210112143805_931,66510,16104586806359730,24
384160000,RLSSDstar,20210112143813_488,239939,16104586620076270,36
21381376,RLSSDstar,20210112144346_684,37860,16104590204852020,24
21381376,RLSSDstar,20210112144503_647,42484,16104590961510630,24
1146228736,RLSSDstar,20210112144525_103,290650,16104589983977070,48
1146228736,RLSSDstar,20210112144604_097,375021,16104590006837330,48
