R,algorithm,date,iteration,seed,size
10000,RLSSDstarstar,20210111152202_872,11428028,16103748777341890,100
2500,RLSSDstarstar,20210111152300_387,340324,16103749789237060,50
2500,RLSSDstarstar,20210111152301_033,495459,16103749789236690,50
2500,RLSSDstarstar,20210111152302_31,507604,16103749802010068,50
2500,RLSSDstarstar,20210111152302_867,498388,16103749807088860,50
2500,RLSSDstarstar,20210111152306_786,931456,16103749823110198,50
2500,RLSSDstarstar,20210111152306_915,594507,16103749840790948,50
2500,RLSSDstarstar,20210111152307_671,607097,16103749848107960,50
2500,RLSSDstarstar,20210111152310_545,1548373,16103749833151440,50
2500,RLSSDstarstar,20210111152311_859,1091316,16103749869159650,50
2500,RLSSDstarstar,20210111152312_029,353588,16103749905456770,50
1600,RLSSDstarstar,20210112130827_069,329495,16104533049286220,40
1600,RLSSDstarstar,20210112130829_546,333645,16104533081494610,40
1600,RLSSDstarstar,20210112130830_402,435998,16104533085674350,40
1600,RLSSDstarstar,20210112130831_14,164373,16104533104030390,40
1600,RLSSDstarstar,20210112130835_18,239853,16104533137590200,40
3600,RLSSDstarstar,20210112130835_365,1214073,16104533092936750,60
1600,RLSSDstarstar,20210112130836_877,216932,16104533159332400,40
3600,RLSSDstarstar,20210112130837_725,804603,16104533136926430,60
3600,RLSSDstarstar,20210112130839_463,734638,16104533161098060,60
3600,RLSSDstarstar,20210112130840_894,642434,16104533180302210,60
3600,RLSSDstarstar,20210112130841_054,660560,16104533181394538,60
1600,RLSSDstarstar,20210112130841_065,179540,16104533202639430,40
1600,RLSSDstarstar,20210112130841_799,171117,16104533210551400,40
1600,RLSSDstarstar,20210112130842_755,196788,16104533218003672,40
3600,RLSSDstarstar,20210112130844_434,1480762,16104533177263500,60
3600,RLSSDstarstar,20210112130847_08,630759,16104533244350100,60
3600,RLSSDstarstar,20210112130849_467,700441,16104533266400120,60
3600,RLSSDstarstar,20210112130852_842,1462005,16104533270815790,60
3600,RLSSDstarstar,20210112130856_597,2166086,16104533280784300,60
1600,RLSSDstarstar,20210112130857_831,332873,16104533365990970,40
15752961,RLSSDstarstar,20210112132551_64,38716,16104543456799480,24
15752961,RLSSDstarstar,20210112132552_091,42972,16104543456800352,24
15752961,RLSSDstarstar,20210112132552_196,43900,16104543456800220,24
15752961,RLSSDstarstar,20210112132557_705,40550,16104543520918210,24
15752961,RLSSDstarstar,20210112132557_787,40401,16104543521968720,24
15752961,RLSSDstarstar,20210112132604_742,36040,16104543596679248,24
15752961,RLSSDstarstar,20210112132605_476,31628,16104543609277710,24
15752961,RLSSDstarstar,20210112132607_735,37497,16104543623360260,24
15752961,RLSSDstarstar,20210112132608_546,41497,16104543626368670,24
15752961,RLSSDstarstar,20210112132609_48,34389,16104543647429890,24
15752961,RLSSDstarstar,20210112132611_672,45217,16104543654773810,24
15752961,RLSSDstarstar,20210112132615_435,42152,16104543694812890,24
15752961,RLSSDstarstar,20210112132617_275,34403,16104543722420508,24
15752961,RLSSDstarstar,20210112132617_975,43763,16104543716730450,24
15752961,RLSSDstarstar,20210112132623_192,37124,16104543779762760,24
15752961,RLSSDstarstar,20210112132627_526,45812,16104543809610340,24
15752961,RLSSDstarstar,20210112132627_74,30390,16104543831930680,24
15752961,RLSSDstarstar,20210112132629_051,48479,16104543821064310,24
15752961,RLSSDstarstar,20210112132632_58,34679,16104543877405780,24
15752961,RLSSDstarstar,20210112132638_915,43559,16104543925813630,24
13845841,RLSSDstarstar,20210112133501_677,32646,16104548971472190,24
13845841,RLSSDstarstar,20210112133509_853,43953,16104549035801770,24
276922881,RLSSDstarstar,20210112133543_519,147525,16104548971471650,36
13845841,RLSSDstarstar,20210112133545_236,23005,16104549417140610,24
13845841,RLSSDstarstar,20210112133614_887,33680,16104549646189830,24
13845841,RLSSDstarstar,20210112133621_899,50456,16104549753134400,24
276922881,RLSSDstarstar,20210112133624_724,145103,16104549331426510,36
276922881,RLSSDstarstar,20210112133658_119,197958,16104549847252892,36
276922881,RLSSDstarstar,20210112133702_12,148137,16104550028454872,36
276922881,RLSSDstarstar,20210112133749_984,175310,16104550499417010,36
157351936,RLSSDstarstar,20210112134422_761,121143,16104554314399360,36
157351936,RLSSDstarstar,20210112134552_775,122247,16104555145213620,36
157351936,RLSSDstarstar,20210112134620_266,162023,16104555333534998,36
157351936,RLSSDstarstar,20210112134633_947,134151,16104555573782820,36
157351936,RLSSDstarstar,20210112134658_705,148091,16104555802673300,36
12960000,RLSSDstarstar,20210112134700_823,37952,16104556148934000,24
157351936,RLSSDstarstar,20210112134711_695,136333,16104555961488680,36
157351936,RLSSDstarstar,20210112134953_262,126074,16104557575855010,36
12960000,RLSSDstarstar,20210112135048_618,43790,16104558422578210,24
741200625,RLSSDstarstar,20210112135129_034,260524,16104557842816250,46
157351936,RLSSDstarstar,20210112135149_282,146452,16104558700243198,36
12960000,RLSSDstarstar,20210112135236_181,30472,16104559515676050,24
12960000,RLSSDstarstar,20210112135240_481,25120,16104559561826500,24
741200625,RLSSDstarstar,20210112135501_796,279139,16104560151655920,46
12960000,RLSSDstarstar,20210112135600_017,29546,16104561573782480,24
741200625,RLSSDstarstar,20210112135607_107,304117,16104560940832970,46
157351936,RLSSDstarstar,20210112135626_861,156092,16104561600180230,36
741200625,RLSSDstarstar,20210112135630_036,319784,16104561133476328,46
157351936,RLSSDstarstar,20210112135649_398,136739,16104561868624570,36
12960000,RLSSDstarstar,20210112135745_582,37141,16104562605228310,24
181063936,RLSSDstarstar,20210112135749_041,144142,16104562294317730,36
20151121,RLSSDstarstar,20210112135756_707,46502,16104562690420480,24
12960000,RLSSDstarstar,20210112135759_891,38056,16104562740710980,24
20151121,RLSSDstarstar,20210112135821_639,35872,16104562953230628,24
741200625,RLSSDstarstar,20210112135857_157,311347,16104562197927908,46
181063936,RLSSDstarstar,20210112135901_492,138780,16104563016404390,36
20151121,RLSSDstarstar,20210112135933_758,39331,16104563669193530,24
741200625,RLSSDstarstar,20210112135934_461,238257,16104562812603610,46
741200625,RLSSDstarstar,20210112140026_572,245655,16104563371583310,46
181063936,RLSSDstarstar,20210112140112_239,141622,16104564352125140,36
181063936,RLSSDstarstar,20210112140116_467,151778,16104564361802480,36
20151121,RLSSDstarstar,20210112140210_843,39764,16104565233732090,24
181063936,RLSSDstarstar,20210112140235_1,154215,16104565095898718,36
181063936,RLSSDstarstar,20210112140254_919,144298,16104565308457460,36
181063936,RLSSDstarstar,20210112140315_906,137163,16104565687554040,36
20151121,RLSSDstarstar,20210112140317_682,52533,16104565923436610,24
20151121,RLSSDstarstar,20210112140322_398,43173,16104565976826190,24
741200625,RLSSDstarstar,20210112140325_534,246962,16104565234315460,46
181063936,RLSSDstarstar,20210112140354_916,92988,16104566170366900,36
20151121,RLSSDstarstar,20210112140402_136,33032,16104566389334550,24
741200625,RLSSDstarstar,20210112140415_284,227813,16104566055351410,46
20151121,RLSSDstarstar,20210112140417_582,51343,16104566543714312,24
20151121,RLSSDstarstar,20210112140418_664,36917,16104566564375090,24
181063936,RLSSDstarstar,20210112140438_242,115046,16104566664918712,36
20151121,RLSSDstarstar,20210112140440_485,48431,16104566776040260,24
181063936,RLSSDstarstar,20210112140451_32,129743,16104566820610458,36
384160000,RLSSDstarstar,20210112143640_887,34373,16104585910524640,36
57289761,RLSSDstarstar,20210112143645_753,14137,16104586031477252,24
384160000,RLSSDstarstar,20210112143653_342,41047,16104586008884880,36
384160000,RLSSDstarstar,20210112143659_903,47451,16104586057539950,36
57289761,RLSSDstarstar,20210112143703_921,19699,16104586199037630,24
57289761,RLSSDstarstar,20210112143753_739,23579,16104586706192410,24
384160000,RLSSDstarstar,20210112143817_63,52054,16104586934894158,36
57289761,RLSSDstarstar,20210112143818_746,21757,16104586976323350,24
21381376,RLSSDstarstar,20210112144325_442,10076,16104590037894890,24
285610000,RLSSDstarstar,20210112144405_301,56169,16104590266897960,36
21381376,RLSSDstarstar,20210112144456_15,12256,16104590939405530,24
1146228736,RLSSDstarstar,20210112144635_491,67990,16104591663527020,48
285610000,RLSSDstarstar,20210112144703_286,28946,16104592147113618,36
