algorithm,date,iteration,seed,size
ea1p1,20210112133530_978,11058,16104549299337240,24
ea1p1,20210112133533_142,150465,16104549018993290,36
ea1p1,20210112133600_925,23254,16104549580448050,24
ea1p1,20210112133604_372,82168,16104549435209930,36
ea1p1,20210112133604_618,64170,16104549475727190,36
ea1p1,20210112133605_731,29141,16104549609269710,24
ea1p1,20210112133610_696,24349,16104549657326830,24
ea1p1,20210112133615_312,23181,16104549706976430,24
ea1p1,20210112133639_795,113550,16104549819002100,36
ea1p1,20210112133642_153,133040,16104549818857290,36
ea1p1,20210112134351_437,22163,16104554290401910,24
ea1p1,20210112134353_121,39511,16104554290401840,24
ea1p1,20210112134514_519,216013,16104554578186240,46
ea1p1,20210112134533_352,257868,16104554627623652,46
ea1p1,20210112134612_931,340292,16104554795456050,46
ea1p1,20210112134617_059,30754,16104555729320330,24
ea1p1,20210112134635_334,12628,16104555939482730,24
ea1p1,20210112134905_052,358308,16104556270840508,46
ea1p1,20210112134917_584,63481,16104557434122030,36
ea1p1,20210112135005_582,219222,16104557450534698,46
ea1p1,20210112135042_872,43685,16104558352689810,36
ea1p1,20210112135110_022,121837,16104558486201510,36
ea1p1,20210112135140_956,238982,16104558428738590,46
ea1p1,20210112135143_736,29191,16104559009573160,24
ea1p1,20210112135236_575,186481,16104559092828540,46
ea1p1,20210112135238_193,127675,16104559352993600,36
ea1p1,20210112135456_43,177875,16104560670346820,46
ea1p1,20210112135512_87,103078,16104561017974930,36
ea1p1,20210112135535_743,133722,16104561211609090,36
ea1p1,20210112135653_758,157680,16104561900365700,46
ea1p1,20210112135659_792,94489,16104562093990510,36
ea1p1,20210112135751_847,95188,16104562555416600,36
ea1p1,20210112135759_419,30484,16104562761949830,24
ea1p1,20210112135801_259,12859,16104562798925860,24
ea1p1,20210112135815_322,73769,16104562821364270,36
ea1p1,20210112135851_017,34211,16104563272817280,24
ea1p1,20210112135908_064,103927,16104563310193720,36
ea1p1,20210112135925_52,92310,16104563487023840,36
ea1p1,20210112140118_712,21297,16104564764679680,24
ea1p1,20210112140202_806,26263,16104565200399700,24
ea1p1,20210112140203_431,47072,16104565189237720,24
ea1p1,20210112140246_205,47952,16104565576161510,36
ea1p1,20210112140248_754,24325,16104565662781830,24
ea1p1,20210112140312_342,126920,16104565772035120,36
ea1p1,20210112140337_034,99666,16104566058778320,36
ea1p1,20210112140351_18,117007,16104566171551260,36
ea1p1,20210112140422_241,73058,16104566575832642,36
ea1p1,20210112140424_963,99764,16104566586644880,36
ea1p1,20210112140435_336,124240,16104566674125832,36
ea1p1,20210112140436_555,22926,16104566753372620,24
ea1p1,20210112140437_603,22560,16104566765558400,24
ea1p1,20210112140439_099,21068,16104566782439590,24
ea1p1,20210112140500_271,104133,16104566955198900,36
ea1p1,20210112140500_919,22652,16104567002727120,24
ea1p1,20210112140501_658,26343,16104567009199140,24
ea1p1,20210112140521_963,13317,16104567216003480,24
ea1p1,20210112144323_786,44244,16104589983980700,24
ea1p1,20210112144412_612,64675,16104590453030580,24
ea1p1,20210112144502_437,349331,16104590054449300,48
ea1p1,20210112144606_351,127860,16104591417981190,36
ea1p1,20210112144654_71,102684,16104591954932840,36
ea1p1,20210112144704_821,15103,16104592232875010,24
ea1p1,20210112144734_333,304439,16104591877795840,48
ea1p1,20210112144818_226,341684,16104592543346210,36
ea1p1,20210112144932_217,424961,16104593232950280,48
ea1p1,20210112145015_46,528424,16104593722182660,48
ea1p1,20210112145020_663,111817,16104594154623830,36
ea1p1,20210112145021_494,26627,16104594206637440,24
ea1p1,20210112145543_928,197925,16104596924592860,48
ea1p1,20210112145606_034,38446,16104597616018260,24
ea1p1,20210112145638_272,41971,16104597929275050,24
ea1p1,20210112145641_499,69927,16104597853162740,36
ea1p1,20210112145642_397,38527,16104597982734390,24
ea1p1,20210112145716_305,174860,16104598025890760,36
ea1p1,20210112145728_592,20551,16104598461160350,24
ea1p1,20210112145909_935,128777,16104599129212320,48
ea1p1,20210112145922_705,102370,16104599499373118,24
ea1p1,20210112145930_437,17159,16104599686531670,24
ea1p1,20210112150024_827,223248,16104599704384130,48
ea1p1,20210112150055_893,164000,16104600248281168,36
ea1p1,20210112150056_169,93727,16104600389624900,36
ea1p1,20210112150103_94,75042,16104600503881070,36
ea1p1,20210112150108_481,70315,16104600561698250,36
ea1p1,20210112150108_611,45857,16104600639406910,24
