R,algorithm,date,iteration,seed,size,λ
10,ea1pλSASD,20201204143850_19,297,16070891295542008,100,10
10,ea1pλSASD,20201204143851_035,329,16070891310097620,100,10
10,ea1pλSASD,20201204143851_047,172,16070891310356040,100,10
10,ea1pλSASD,20201204143851_065,334,16070891310482212,100,10
10,ea1pλSASD,20201204143851_074,96,16070891310664000,100,10
10,ea1pλSASD,20201204143851_088,268,16070891310746360,100,10
10,ea1pλSASD,20201204143851_103,329,16070891310884160,100,10
10,ea1pλSASD,20201204143851_114,252,16070891311037850,100,10
10,ea1pλSASD,20201204143851_127,257,16070891311148040,100,10
10,ea1pλSASD,20201204143851_133,116,16070891311277730,100,10
10,ea1pλSASD,20201204143851_146,267,16070891311342170,100,10
10,ea1pλSASD,20201204143851_156,143,16070891311471110,100,10
10,ea1pλSASD,20201204143851_165,132,16070891311571168,100,10
10,ea1pλSASD,20201204143851_176,220,16070891311660700,100,10
10,ea1pλSASD,20201204143851_19,279,16070891311769960,100,10
10,ea1pλSASD,20201204143851_231,257,16070891311909540,100,10
10,ea1pλSASD,20201204143851_257,512,16070891312317500,100,10
10,ea1pλSASD,20201204143851_276,316,16070891312583080,100,10
10,ea1pλSASD,20201204143851_287,238,16070891312771210,100,10
10,ea1pλSASD,20201204143851_304,368,16070891312877988,100,10
10,ea1pλSASD,20201204143851_313,136,16070891313047112,100,10
10,ea1pλSASD,20201204143851_326,215,16070891313144280,100,10
10,ea1pλSASD,20201204143851_344,338,16070891313271840,100,10
10,ea1pλSASD,20201204143851_364,339,16070891313446050,100,10
10,ea1pλSASD,20201204143851_375,185,16070891313652380,100,10
10,ea1pλSASD,20201204143851_382,115,16070891313762072,100,10
10,ea1pλSASD,20201204143851_402,420,16070891313827320,100,10
10,ea1pλSASD,20201204143851_42,351,16070891314026570,100,10
10,ea1pλSASD,20201204143851_429,146,16070891314209002,100,10
10,ea1pλSASD,20201204143851_449,458,16070891314303620,100,10
10,ea1pλSASD,20201204143851_501,471,16070891314732730,100,10
10,ea1pλSASD,20201204143851_515,245,16070891315017992,100,10
10,ea1pλSASD,20201204143851_533,357,16070891315163360,100,10
10,ea1pλSASD,20201204143851_55,307,16070891315339260,100,10
10,ea1pλSASD,20201204143851_558,105,16070891315513402,100,10
10,ea1pλSASD,20201204143851_573,200,16070891315590740,100,10
10,ea1pλSASD,20201204143851_594,376,16070891315740212,100,10
10,ea1pλSASD,20201204143851_616,428,16070891315947260,100,10
10,ea1pλSASD,20201204143851_635,316,16070891316171070,100,10
10,ea1pλSASD,20201204143851_641,66,16070891316356140,100,10
10,ea1pλSASD,20201204143851_651,175,16070891316416910,100,10
10,ea1pλSASD,20201204143851_662,168,16070891316514160,100,10
10,ea1pλSASD,20201204143851_679,279,16070891316626360,100,10
10,ea1pλSASD,20201204143851_695,298,16070891316796870,100,10
10,ea1pλSASD,20201204143851_708,221,16070891316956020,100,10
10,ea1pλSASD,20201204143851_746,390,16070891317278290,100,10
10,ea1pλSASD,20201204143851_761,251,16070891317465430,100,10
10,ea1pλSASD,20201204143851_787,431,16070891317619180,100,10
10,ea1pλSASD,20201204143851_807,343,16070891317881150,100,10
10,ea1pλSASD,20201204143851_822,232,16070891318082090,100,10
10,ea1pλSASD,20201204143851_83,121,16070891318232090,100,10
10,ea1pλSASD,20201204143851_838,153,16070891318306020,100,10
10,ea1pλSASD,20201204143851_848,182,16070891318385930,100,10
10,ea1pλSASD,20201204143851_868,328,16070891318491390,100,10
10,ea1pλSASD,20201204143851_886,227,16070891318686408,100,10
10,ea1pλSASD,20201204143851_904,317,16070891318865900,100,10
10,ea1pλSASD,20201204143851_918,227,16070891319048290,100,10
10,ea1pλSASD,20201204143851_942,405,16070891319189760,100,10
10,ea1pλSASD,20201204143851_956,287,16070891319426670,100,10
10,ea1pλSASD,20201204143851_969,215,16070891319569900,100,10
10,ea1pλSASD,20201204143852_003,196,16070891319869980,100,10
10,ea1pλSASD,20201204143852_023,334,16070891320043020,100,10
10,ea1pλSASD,20201204143852_039,275,16070891320239740,100,10
10,ea1pλSASD,20201204143852_06,364,16070891320406650,100,10
10,ea1pλSASD,20201204143852_079,337,16070891320613010,100,10
10,ea1pλSASD,20201204143852_089,137,16070891320800840,100,10
10,ea1pλSASD,20201204143852_11,371,16070891320906330,100,10
10,ea1pλSASD,20201204143852_122,181,16070891321113960,100,10
10,ea1pλSASD,20201204143852_148,388,16070891321229870,100,10
10,ea1pλSASD,20201204143852_162,266,16070891321484138,100,10
10,ea1pλSASD,20201204143852_174,257,16070891321627900,100,10
10,ea1pλSASD,20201204143852_202,483,16070891321751960,100,10
10,ea1pλSASD,20201204143852_216,168,16070891322034270,100,10
10,ea1pλSASD,20201204143852_231,316,16070891322172130,100,10
10,ea1pλSASD,20201204143852_263,213,16070891322320180,100,10
10,ea1pλSASD,20201204143852_277,222,16070891322639510,100,10
10,ea1pλSASD,20201204143852_296,317,16070891322782990,100,10
10,ea1pλSASD,20201204143852_324,368,16070891322969740,100,10
10,ea1pλSASD,20201204143852_356,267,16070891323268120,100,10
10,ea1pλSASD,20201204143852_387,286,16070891323582220,100,10
10,ea1pλSASD,20201204143852_406,174,16070891323886110,100,10
10,ea1pλSASD,20201204143852_429,313,16070891324076120,100,10
10,ea1pλSASD,20201204143852_442,137,16070891324305180,100,10
10,ea1pλSASD,20201204143852_465,458,16070891324425580,100,10
10,ea1pλSASD,20201204143852_485,386,16070891324662430,100,10
10,ea1pλSASD,20201204143852_511,366,16070891324862600,100,10
10,ea1pλSASD,20201204143852_526,232,16070891325121000,100,10
10,ea1pλSASD,20201204143852_538,258,16070891325265250,100,10
10,ea1pλSASD,20201204143852_552,282,16070891325388020,100,10
10,ea1pλSASD,20201204143852_584,136,16070891325727070,100,10
10,ea1pλSASD,20201204143852_599,285,16070891325849410,100,10
10,ea1pλSASD,20201204143852_63,408,16070891326005420,100,10
10,ea1pλSASD,20201204143852_657,404,16070891326310300,100,10
10,ea1pλSASD,20201204143852_679,312,16070891326578130,100,10
10,ea1pλSASD,20201204143852_697,206,16070891326803780,100,10
10,ea1pλSASD,20201204143852_715,243,16070891326978878,100,10
10,ea1pλSASD,20201204143852_735,199,16070891327156710,100,10
10,ea1pλSASD,20201204143852_76,405,16070891327359710,100,10
10,ea1pλSASD,20201204143852_777,186,16070891327610860,100,10
10,ea1pλSASD,20201204143852_796,345,16070891327779120,100,10
10,ea1pλSASD,20201204143852_804,97,16070891327973450,100,10
10,ea1pλSASD,20201204143852_817,183,16070891328045880,100,10
10,ea1pλSASD,20201204143852_827,169,16070891328178548,100,10
10,ea1pλSASD,20201204143852_846,308,16070891328283560,100,10
10,ea1pλSASD,20201204143852_873,146,16070891328634120,100,10
10,ea1pλSASD,20201204143852_884,199,16070891328741710,100,10
10,ea1pλSASD,20201204143852_895,205,16070891328852370,100,10
10,ea1pλSASD,20201204143852_905,162,16070891328961070,100,10
10,ea1pλSASD,20201204143852_921,233,16070891329063580,100,10
10,ea1pλSASD,20201204143852_94,227,16070891329223868,100,10
10,ea1pλSASD,20201204143852_949,135,16070891329408750,100,10
10,ea1pλSASD,20201204143852_972,384,16070891329500780,100,10
10,ea1pλSASD,20201204143852_981,170,16070891329727750,100,10
10,ea1pλSASD,20201204143852_99,118,16070891329823238,100,10
10,ea1pλSASD,20201204143853_004,256,16070891329909260,100,10
10,ea1pλSASD,20201204143853_018,174,16070891330047490,100,10
10,ea1pλSASD,20201204143853_057,211,16070891330461070,100,10
10,ea1pλSASD,20201204143853_069,229,16070891330576590,100,10
10,ea1pλSASD,20201204143853_079,184,16070891330697278,100,10
10,ea1pλSASD,20201204143853_1,406,16070891330799840,100,10
10,ea1pλSASD,20201204143853_136,303,16070891331008710,100,10
10,ea1pλSASD,20201204143853_153,276,16070891331373630,100,10
10,ea1pλSASD,20201204143853_169,309,16070891331537120,100,10
10,ea1pλSASD,20201204143853_187,376,16070891331698100,100,10
10,ea1pλSASD,20201204143853_208,353,16070891331883112,100,10
10,ea1pλSASD,20201204144335_336,174,16070894153217102,100,10
10,ea1pλSASD,20201204144335_339,211,16070894153217090,100,10
10,ea1pλSASD,20201204144335_351,331,16070894153217110,100,10
10,ea1pλSASD,20201204144335_358,273,16070894153398700,100,10
10,ea1pλSASD,20201204144335_36,319,16070894153217110,100,10
10,ea1pλSASD,20201204144335_361,250,16070894153372220,100,10
10,ea1pλSASD,20201204144335_379,211,16070894153594250,100,10
10,ea1pλSASD,20201204144335_386,210,16070894153620710,100,10
10,ea1pλSASD,20201204144335_386,248,16070894153524808,100,10
10,ea1pλSASD,20201204144335_397,135,16070894153802820,100,10
10,ea1pλSASD,20201204144335_42,213,16070894153984060,100,10
10,ea1pλSASD,20201204144335_433,374,16070894153870090,100,10
10,ea1pλSASD,20201204144335_444,460,16070894153982748,100,10
10,ea1pλSASD,20201204144335_445,240,16070894154214560,100,10
10,ea1pλSASD,20201204144335_453,166,16070894154336290,100,10
10,ea1pλSASD,20201204144335_456,198,16070894154337630,100,10
10,ea1pλSASD,20201204144335_466,243,16070894154457670,100,10
10,ea1pλSASD,20201204144335_474,276,16070894154447670,100,10
10,ea1pλSASD,20201204144335_479,235,16070894154572690,100,10
10,ea1pλSASD,20201204144335_494,318,16070894154667940,100,10
10,ea1pλSASD,20201204144335_508,314,16070894154751360,100,10
10,ea1pλSASD,20201204144335_51,173,16070894154950982,100,10
10,ea1pλSASD,20201204144335_525,401,16070894154808890,100,10
10,ea1pλSASD,20201204144335_529,432,16070894154808890,100,10
10,ea1pλSASD,20201204144335_542,376,16070894155105820,100,10
10,ea1pλSASD,20201204144335_552,183,16070894155314370,100,10
10,ea1pλSASD,20201204144335_556,431,16070894155090900,100,10
10,ea1pλSASD,20201204144335_57,467,16070894155431560,100,10
10,ea1pλSASD,20201204144335_575,433,16070894155261040,100,10
10,ea1pλSASD,20201204144335_587,271,16070894155530332,100,10
10,ea1pλSASD,20201204144335_594,122,16070894155764360,100,10
10,ea1pλSASD,20201204144335_607,366,16070894155709072,100,10
10,ea1pλSASD,20201204144335_608,441,16070894155571600,100,10
10,ea1pλSASD,20201204144335_61,202,16070894155879490,100,10
10,ea1pλSASD,20201204144335_697,92,16070894156108720,100,10
10,ea1pλSASD,20201204144335_697,276,16070894155950510,100,10
10,ea1pλSASD,20201204144335_698,192,16070894156076170,100,10
10,ea1pλSASD,20201204144335_708,329,16070894156087850,100,10
10,ea1pλSASD,20201204144335_71,175,16070894156978372,100,10
10,ea1pλSASD,20201204144335_713,196,16070894156990080,100,10
10,ea1pλSASD,20201204144335_722,175,16070894157087482,100,10
10,ea1pλSASD,20201204144335_727,131,16070894157134610,100,10
10,ea1pλSASD,20201204144335_729,218,16070894157105470,100,10
10,ea1pλSASD,20201204144335_731,464,16070894156980450,100,10
10,ea1pλSASD,20201204144335_755,528,16070894157233820,100,10
10,ea1pλSASD,20201204144335_756,346,16070894157276790,100,10
10,ea1pλSASD,20201204144335_757,364,16070894157298750,100,10
10,ea1pλSASD,20201204144335_762,388,16070894157315250,100,10
10,ea1pλSASD,20201204144335_773,211,16070894157569700,100,10
10,ea1pλSASD,20201204144335_776,265,16070894157564500,100,10
10,ea1pλSASD,20201204144335_779,299,16070894157576190,100,10
10,ea1pλSASD,20201204144335_781,231,16070894157627320,100,10
10,ea1pλSASD,20201204144335_795,221,16070894157765670,100,10
10,ea1pλSASD,20201204144335_795,196,16070894157741440,100,10
